country_code,country_name,region,sub_region,intermediate_region,income_group,organization_name,is_aggregate
DJI,Djibouti,ORIENTE MEDIO Y NORTE DE ÁFRICA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,EASTERN AFRICA,,,False
DMA,Dominica,AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,,,False
ECU,Ecuador,AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),LATIN AMERICA AND THE CARIBBEAN,SOUTH AMERICA,,,False
EGY,"Egipto, Republica Arabe De",ORIENTE MEDIO Y NORTE DE ÁFRICA (EXCLUIDO ALTOS INGRESOS),NORTHERN AFRICA,,,,False
SLV,El Salvador,AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),LATIN AMERICA AND THE CARIBBEAN,CENTRAL AMERICA,,,False
ARE,Emiratos Arabes Unidos,,WESTERN ASIA,,,,False
ERI,Eritrea,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,EASTERN AFRICA,,,False
SVN,Eslovenia,,SOUTHERN EUROPE,,,,False
ESP,Espana,,SOUTHERN EUROPE,,,,False
USA,Estados Unidos,,NORTHERN AMERICA,,,,False
EST,Estonia,,NORTHERN EUROPE,,,,False
SWZ,Eswatini,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,SOUTHERN AFRICA,,,False
ETH,Etiopia,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,EASTERN AFRICA,,,False
RUS,Federacion De Rusia,,EASTERN EUROPE,,,,False
FJI,Fiji,ASIA ORIENTAL Y EL PACÍFICO (EXCLUIDO ALTOS INGRESOS),MELANESIA,,,,False
PHL,Filipinas,ASIA ORIENTAL Y EL PACÍFICO (EXCLUIDO ALTOS INGRESOS),SOUTH-EASTERN ASIA,,,,False
FIN,Finlandia,,NORTHERN EUROPE,,,,False
FRA,Francia,,WESTERN EUROPE,,,,False
GAB,Gabon,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,MIDDLE AFRICA,,,False
GMB,Gambia,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,WESTERN AFRICA,,,False
GEO,Georgia,EUROPA Y ASIA CENTRAL (EXCLUIDO ALTOS INGRESOS),WESTERN ASIA,,,,False
GHA,Ghana,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,WESTERN AFRICA,,,False
GIB,Gibraltar,,SOUTHERN EUROPE,,,,False
GRD,Granada,AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,,,False
GRC,Grecia,,SOUTHERN EUROPE,,,,False
GRL,Groenlandia,,NORTHERN AMERICA,,,,False
GUM,Guam,,MICRONESIA,,,,False
GTM,Guatemala,AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),LATIN AMERICA AND THE CARIBBEAN,CENTRAL AMERICA,,,False
GIN,Guinea,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,WESTERN AFRICA,,,False
