country_code,country_name,region,sub_region,intermediate_region,income_group,organization_name,is_aggregate
RWA,Rwanda,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,EASTERN AFRICA,,,False
KNA,Saint Kitts Y Nevis,,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,,,False
WSM,Samoa,ASIA ORIENTAL Y EL PACÍFICO (EXCLUIDO ALTOS INGRESOS),POLYNESIA,,,,False
ASM,Samoa Americana,,POLYNESIA,,,,False
SMR,San Marino,,SOUTHERN EUROPE,,,,False
VCT,San Vicente Y Las Granadinas,AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,,,False
LCA,Santa Lucia,AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,,,False
STP,Santo Tome Y Principe,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,MIDDLE AFRICA,,,False
SEN,Senegal,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,WESTERN AFRICA,,,False
SRB,Serbia,EUROPA Y ASIA CENTRAL (EXCLUIDO ALTOS INGRESOS),SOUTHERN EUROPE,,,,False
SYC,Seychelles,,SUB-SAHARAN AFRICA,EASTERN AFRICA,,,False
SLE,Sierra Leona,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,WESTERN AFRICA,,,False
SGP,Singapur,,SOUTH-EASTERN ASIA,,,,False
SXM,Sint Maarten (Dutch Part),,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,,,False
SOM,Somalia,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,EASTERN AFRICA,,,False
LKA,Sri Lanka,ASIA MERIDIONAL,SOUTHERN ASIA,,,,False
ZAF,Sudafrica,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,SOUTHERN AFRICA,,,False
SDN,Sudan,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),NORTHERN AFRICA,,,,False
SSD,Sudan Del Sur,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,EASTERN AFRICA,,,False
SWE,Suecia,,NORTHERN EUROPE,,,,False
CHE,Suiza,,WESTERN EUROPE,,,,False
SUR,Suriname,AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),LATIN AMERICA AND THE CARIBBEAN,SOUTH AMERICA,,,False
THA,Tailandia,ASIA ORIENTAL Y EL PACÍFICO (EXCLUIDO ALTOS INGRESOS),SOUTH-EASTERN ASIA,,,,False
TZA,Tanzania,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,EASTERN AFRICA,,,False
TJK,Tayikistan,EUROPA Y ASIA CENTRAL (EXCLUIDO ALTOS INGRESOS),CENTRAL ASIA,,,,False
TLS,Timor-Leste,ASIA ORIENTAL Y EL PACÍFICO (EXCLUIDO ALTOS INGRESOS),SOUTH-EASTERN ASIA,,,,False
TGO,Togo,ÁFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),SUB-SAHARAN AFRICA,WESTERN AFRICA,,,False
TON,Tonga,ASIA ORIENTAL Y EL PACÍFICO (EXCLUIDO ALTOS INGRESOS),POLYNESIA,,,,False
