country_code,year,inflation_percent,exports_percent_gdp,imports_percent_gdp,gdp_current_local,gdp_current_million,gdp_growth_percent
MLT,1997,3.11207791953272,74.7797227443609,80.8769971804511,3787069759.0365,3787.0697590365,5.25698014497544
MLT,1998,2.38525135417661,75.3100369288431,81.7367579782836,4010090978.74385,4010.0909787438495,5.12560123053598
MLT,1999,2.13476888806386,80.2758656790641,84.8954380087418,4111890472.76062,4111.8904727606205,4.71997488242212
MLT,2000,2.36959287531806,90.2687897570809,99.3318335298469,4036810072.08739,4036.81007208739,19.6812700987473
MLT,2001,2.92949244324104,78.457174571993,82.8671979440882,4070867701.80867,4070.86770180867,-0.75667262732631
MLT,2002,2.18849048060549,82.5184412627204,80.0073099609975,4455128822.74822,4455.12882274822,2.74112013880779
MLT,2003,1.30383777442602,75.4563110775398,79.1171792568014,5418313424.45366,5418.31342445366,3.6942613101231
MLT,2004,2.79082848067754,75.0973750675978,80.7924752989286,6104139672.8194,6104.1396728194,0.407159747560954
MLT,2005,3.00796652450313,74.2239515648642,83.3254209650424,6393234993.5333,6393.2349935333,2.88067127282936
MLT,2006,2.77378006481472,89.1800886578246,93.2540040116499,6749840217.6947,6749.8402176947,2.33612273361229
MLT,2007,1.24921923797629,90.8537644912139,93.9775819456712,7908417717.40432,7908.41771740432,5.03666395081845
MLT,2008,4.25862171897073,91.4724514284297,94.2768989462365,9135423330.20251,9135.423330202511,4.41012622523094
MLT,2009,2.08432746082343,81.033511859316,82.5237358119799,8734741331.60386,8734.74133160386,-1.395342554571
MLT,2010,1.51563513618532,89.624247709585,88.6085062355431,9097044160.9473,9097.0441609473,6.1973451691119
MLT,2011,2.9629852819288,97.4417852336987,94.5865983091957,9789361703.69731,9789.36170369731,0.991963675296375
MLT,2012,2.37582057760386,100.798667031539,98.4148063657225,9609532088.88683,9609.53208888683,4.10259030296838
MLT,2013,1.1802843636655,97.6691528585153,89.762034197392,10796782637.51,10796.78263751,6.29171574401258
MLT,2014,0.310306472181665,96.9295794456862,84.3709872207923,11888032872.432,11888.032872432,7.63112937482686
MLT,2015,1.10054826378929,108.732518428092,98.4638796533819,11340795041.8065,11340.7950418065,9.62109756228348
MLT,2016,0.642702771527304,113.166511910194,100.192880900547,12025782834.3596,12025.7828343596,4.07771929481284
MLT,2017,1.36435448150708,116.626664273907,96.4212143464526,14161366723.6779,14161.3667236779,12.972119343498
MLT,2018,1.15782362451517,123.349021968066,104.749143960719,16153779511.1559,16153.7795111559,7.18909653691901
MLT,2019,1.6420600176894,124.520365865548,108.5502779467,16337793530.7788,16337.7935307788,4.08470602847339
MLT,2020,0.638544956776712,136.183881721223,120.704274099833,16385919535.6742,16385.9195356742,-3.47468750932252
MLT,2021,1.49789217934724,118.597554662749,102.052378545327,19718565605.433,19718.565605433,13.4603051960595
MLT,2022,6.15375621933037,128.573995440379,115.100334467235,19209979975.2323,19209.9799752323,4.14788281601133
MLT,2023,5.09396758978883,122.76554394888,104.687945212881,22328640241.5553,22328.640241555306,7.49851245937869
MMR,1960,7.38993710703491,0.0,0.0,545098447.640862,545.098447640862,0.0
MMR,1961,-0.146412882872103,0.0,0.0,605581577.287066,605.581577287066,0.471561080379175
MMR,1962,-1.61290322727254,0.0,0.0,634528872.02036,634.52887202036,4.08687253044889
MMR,1963,-2.68256333834103,0.0,0.0,598998418.724583,598.9984187245831,13.3492949251208
MMR,1964,-0.459418068919959,0.0,0.0,411419905.846621,411.41990584662096,-5.8940188396242
MMR,1965,17.6923076923075,0.0,0.0,367053117.224523,367.053117224523,10.6926495101691
MMR,1966,25.4901960784319,0.0,0.0,293103478.548483,293.103478548483,-4.85177870419901
MMR,1967,0.833333332291585,0.0,0.0,420359035.897436,420.359035897436,-5.92525888262607
MMR,1968,2.37603305787562,0.0,0.0,559956130.283622,559.956130283622,12.0593401836478
MMR,1969,-4.33905146321215,0.0,0.0,571854214.589142,571.854214589142,3.29174112062336
MMR,1970,-4.00843881755277,0.0,0.0,563555630.769545,563.5556307695449,4.97933059716335
MMR,1971,2.08791208791186,0.0,0.0,587448405.488773,587.448405488773,4.12996244451452
MMR,1972,7.64262648008593,0.0,0.0,662213082.741535,662.213082741535,2.43584137286746
MMR,1973,25.1999999992502,0.0,0.0,719754655.358964,719.754655358964,-0.968124718340604
MMR,1974,25.2116613422039,0.0,0.0,1225589878.06809,1225.58987806809,5.34237568950537
MMR,1975,31.6556629348014,0.0,0.0,1061107353.67232,1061.10735367232,4.15270918852109
MMR,1976,22.3844016992292,0.0,0.0,1204699849.12592,1204.69984912592,6.08039622930205
MMR,1977,-1.15668724252864,0.0,0.0,873579931.929901,873.579931929901,5.95228661057057
MMR,1978,-6.04470612570265,0.0,0.0,935408774.951918,935.408774951918,6.51781702314163
MMR,1979,5.67229502887827,0.0,0.0,952265043.438383,952.265043438383,5.20127748073821
MMR,1980,0.608153083899614,0.0,0.0,1038225167.05882,1038.22516705882,7.93853808083058
MMR,1981,0.318444733265915,0.0,0.0,1111000765.28987,1111.00076528987,6.35575459195157
MMR,1982,5.30474040537993,0.0,0.0,1481165467.83214,1481.16546783214,5.60387642556786
MMR,1983,5.65008336345438,0.0,0.0,1381573615.2513,1381.5736152513,4.39109267988809
